evidence_id,figure_or_table_id,source_path,source_run_id,code_sha,upstream_input_sha256,source_output_sha256,model,seasons,mode,population,grain,rows,folds,metric,direction,prospective_or_historical,notes_and_limitations
E-T01,Table 1,data/normalized/phase2/fact_player_fixture.parquet;reports/xpoints_backtests/preseason_sim_hybrid_10000_gw1_three_fold_goalkeeper_corrected_clean_034830b041c1/scored_player_fixture_predictions.parquet,phase2_normalized_panel;preseason_sim_hybrid_10000_gw1_three_fold_goalkeeper_corrected_clean_034830b041c1,034830b041c12d4764a81ebaf46c9b4b0978320c,fact_player_fixture=a30006cd181249edea06efc92a7356fd3905d57f3bf8e7e8d37d570f9f0dfb4a;config=bccc01221d7b821a486efce4e4528fc5748771590ee64326f451c25a1289ddd6,data/normalized/phase2/fact_player_fixture.parquet=a30006cd181249edea06efc92a7356fd3905d57f3bf8e7e8d37d570f9f0dfb4a;reports/xpoints_backtests/preseason_sim_hybrid_10000_gw1_three_fold_goalkeeper_corrected_clean_034830b041c1/scored_player_fixture_predictions.parquet=bad566ee7e9b3e4fae58a6ec9790049ba33321b8b3d2015e094021274226512d,multiple; see table,multiple; see table,historical,explicit in table,explicit in table,4,explicit in table,coverage and integrity counts,metric-specific; explicit in figures/notes,historical,No population or evaluation-mode pooling beyond explicitly labelled blocks.
E-T02,Table 2,reports/team_backtests/phase4_1_dixon_coles_rolling/metrics_expected_goals.csv;reports/team_backtests/phase4_1_dixon_coles_rolling/metrics_clean_sheet.csv;reports/team_backtests/phase4_1_dixon_coles_rolling/metrics_match_outcome.csv;reports/team_backtests/phase4_1_dixon_coles_rolling/metrics_joint_score.csv,phase4_1_dixon_coles_rolling,cfbbead,dim_fixture=7d71b3f5a521b93a0fe76183e44b79dd5ef3bf06d0a714bcb71cfee85655ef6a,reports/team_backtests/phase4_1_dixon_coles_rolling/metrics_expected_goals.csv=ad14624027265efe3993dc86233507cdbd2e3d8bd5fba4327317dbf7e075d855;reports/team_backtests/phase4_1_dixon_coles_rolling/metrics_clean_sheet.csv=6fdd1805383431bd51fc89ca3d5a508f9e83d82596d0b0eb5691e8ee4c7aec44;reports/team_backtests/phase4_1_dixon_coles_rolling/metrics_match_outcome.csv=4f516ed77e13cca946b74703944de768ca285ed69f4425022d45bf7938f3cc16;reports/team_backtests/phase4_1_dixon_coles_rolling/metrics_joint_score.csv=c946b44a48ede5f52cf9368af93d30ae2f462e849e712a1e61b2b708391bf99f,multiple; see table,multiple; see table,historical,explicit in table,explicit in table,4,explicit in table,goal MAE/RMSE/bias/NLL; clean-sheet Brier; outcome log loss,metric-specific; explicit in figures/notes,historical,No population or evaluation-mode pooling beyond explicitly labelled blocks.
E-T03,Table 3,reports/minutes_backtests/phase9b12_minutes_rolling/metrics_overall.csv;reports/minutes_backtests/phase9b12_minutes_gw1/metrics_overall.csv,phase9b12_minutes_rolling;phase9b12_minutes_gw1,ddd77a0,fact_player_fixture=a30006cd181249edea06efc92a7356fd3905d57f3bf8e7e8d37d570f9f0dfb4a;fact_player_fixture=a30006cd181249edea06efc92a7356fd3905d57f3bf8e7e8d37d570f9f0dfb4a,reports/minutes_backtests/phase9b12_minutes_rolling/metrics_overall.csv=6a8e04c25c3f0f103f03756964cedb821e12010c89a79eb5ee5cd827adc44946;reports/minutes_backtests/phase9b12_minutes_gw1/metrics_overall.csv=55b64444046ff7ad3fdf94a2eb01affcd6dfef5ca76973010202d21a2049188f,multiple; see table,multiple; see table,multiple; see comparison_block,explicit in table,explicit in table,6,explicit in table,minutes MAE/RMSE/bias; appearance/start Brier; Spearman,metric-specific; explicit in figures/notes,historical,No population or evaluation-mode pooling beyond explicitly labelled blocks.
E-T04,Table 4,reports/xpoints_backtests/phase9b12_xpoints_rolling_goalkeeper_corrected_exact/metrics_overall.csv;reports/xpoints_backtests/phase9b12_xpoints_gw1_goalkeeper_corrected_exact/metrics_overall.csv;reports/xpoints_backtests/preseason_sim_hybrid_10000_gw1_three_fold_goalkeeper_corrected_clean_034830b041c1/metrics_overall.csv,phase9b12_xpoints_rolling_goalkeeper_corrected_exact;phase9b12_xpoints_gw1_goalkeeper_corrected_exact;preseason_sim_hybrid_10000_gw1_three_fold_goalkeeper_corrected_clean_034830b041c1,6877097;8dc8991;034830b041c12d4764a81ebaf46c9b4b0978320c,fact_player_fixture=a30006cd181249edea06efc92a7356fd3905d57f3bf8e7e8d37d570f9f0dfb4a;config=e134e638d7cc312a9f3b54a2208245c28bf4663bb54e97f062f3e8a6445e6b51;fact_player_fixture=a30006cd181249edea06efc92a7356fd3905d57f3bf8e7e8d37d570f9f0dfb4a;config=9b06acb2c8080000b8b8981a2f39082a9247c723b9c4e2bd56c5d79fbb3a8e2d;fact_player_fixture=a30006cd181249edea06efc92a7356fd3905d57f3bf8e7e8d37d570f9f0dfb4a;config=bccc01221d7b821a486efce4e4528fc5748771590ee64326f451c25a1289ddd6,reports/xpoints_backtests/phase9b12_xpoints_rolling_goalkeeper_corrected_exact/metrics_overall.csv=11b0cf6b4f2603fdee62012dce05cc32db993aab95c510a3758b93121ed6b93a;reports/xpoints_backtests/phase9b12_xpoints_gw1_goalkeeper_corrected_exact/metrics_overall.csv=16f003b21401c92bdb98600afa7dd0939f8c882b8e99d620aa6ea826ba94a731;reports/xpoints_backtests/preseason_sim_hybrid_10000_gw1_three_fold_goalkeeper_corrected_clean_034830b041c1/metrics_overall.csv=cecd3173274e2d7191ffed060ac861d807d7730773c26d4e2b94218dde7202aa,multiple; see table,multiple; see table,multiple; see comparison_block,explicit in table,explicit in table,11,explicit in table,xPoints MAE/RMSE/bias/Spearman; P(5+) Brier; 80% coverage,metric-specific; explicit in figures/notes,historical,No population or evaluation-mode pooling beyond explicitly labelled blocks.
E-T05,Table 5,outputs/operational/validation_runs/preseason_sim_hybrid_10000_goalkeeper_corrected_validation_clean_034830b041c1/preseason_simulation_convergence.json;outputs/operational/validation_runs/preseason_sim_hybrid_10000_goalkeeper_corrected_validation_clean_034830b041c1/preseason_simulation_closure.json,preseason_simulation_convergence_goalkeeper_corrected;preseason_simulation_closure_goalkeeper_corrected,f787ba15c92c379520008daee767fe152aa6ca594d6b1dadb8c6bffaf04afc23,lockfile=55c39fc0e218d3ca5f6e5f3f5ead309bce7ba8f3b33a074bef06bc2a072e9496;normalized_tree=edaf05f33df26188a6f9981f640286f5520bf75b0711b89fd0a6a5601ffe15b7;operations_config=47ab7d160c06fed74af2128b1deefbb00d8c92fae1b03e835ae30c4dc5845ad7;original_manifest=0d2f8cb80368f999633f6ebd08b43fab2e820a22d219143e1c5ca7fbc695f9ba;pyproject=d22b77a80b33c1b3b5ebb8267da833f7072ee49d1c65d069f46c73d22aeec55c;xpoints_config=bccc01221d7b821a486efce4e4528fc5748771590ee64326f451c25a1289ddd6;official_bootstrap_static=bc334cda5906726eacd60746ea25d5b953b39aa77a5eb3b4a2d5538bbac9e1da;official_fixtures=9e7484118381f8202830906ba993c176475d8ca1796571f5dd78cbfc2d73bd3e,outputs/operational/validation_runs/preseason_sim_hybrid_10000_goalkeeper_corrected_validation_clean_034830b041c1/preseason_simulation_convergence.json=15121e5f80a8731e4abc1c26eec38da63e77ad978017a7f0e9659926e47d953b;outputs/operational/validation_runs/preseason_sim_hybrid_10000_goalkeeper_corrected_validation_clean_034830b041c1/preseason_simulation_closure.json=d2e87c862b7f5952b3cc3339916b42b82bf03e25bfffa782044d2a6d6ee3a04c,multiple; see table,multiple; see table,historical,explicit in table,explicit in table,7,explicit in table,"simulation convergence, runtime, memory and reproducibility",metric-specific; explicit in figures/notes,historical,No population or evaluation-mode pooling beyond explicitly labelled blocks.
E-T06,Table 6,reports/xpoints_backtests/phase9b12_xpoints_gw1_goalkeeper_corrected_exact/scored_player_fixture_predictions.parquet;reports/xpoints_backtests/preseason_sim_hybrid_10000_gw1_three_fold_goalkeeper_corrected_clean_034830b041c1/scored_player_fixture_predictions.parquet,phase9b12_xpoints_gw1_goalkeeper_corrected_exact;preseason_sim_hybrid_10000_gw1_three_fold_goalkeeper_corrected_clean_034830b041c1,8dc8991;034830b041c12d4764a81ebaf46c9b4b0978320c,fact_player_fixture=a30006cd181249edea06efc92a7356fd3905d57f3bf8e7e8d37d570f9f0dfb4a;config=9b06acb2c8080000b8b8981a2f39082a9247c723b9c4e2bd56c5d79fbb3a8e2d;fact_player_fixture=a30006cd181249edea06efc92a7356fd3905d57f3bf8e7e8d37d570f9f0dfb4a;config=bccc01221d7b821a486efce4e4528fc5748771590ee64326f451c25a1289ddd6,reports/xpoints_backtests/phase9b12_xpoints_gw1_goalkeeper_corrected_exact/scored_player_fixture_predictions.parquet=b1396f2f6cb0498f429fd897cb08c2d221d5b2f7016a1fc920051a7aa38a4588;reports/xpoints_backtests/preseason_sim_hybrid_10000_gw1_three_fold_goalkeeper_corrected_clean_034830b041c1/scored_player_fixture_predictions.parquet=bad566ee7e9b3e4fae58a6ec9790049ba33321b8b3d2015e094021274226512d,multiple; see table,multiple; see table,historical,explicit in table,explicit in table,8,explicit in table,old versus hybrid three-fold GW1 metrics,metric-specific; explicit in figures/notes,historical,No population or evaluation-mode pooling beyond explicitly labelled blocks.
E-T07,Table 7,reports/decision_backtests/phase9b13_goalkeeper_scoring_corrected_exact_decisions_gw1_clean_034830b041c1/decision_metrics.csv;reports/decision_backtests/phase9b13_goalkeeper_scoring_corrected_exact_decisions_gw1_clean_034830b041c1/model_comparison.csv;reports/decision_backtests/phase9b13_goalkeeper_scoring_corrected_exact_decisions_gw1_clean_034830b041c1/scored_decisions.csv,phase9b13_goalkeeper_scoring_corrected_exact_decisions_gw1_clean_034830b041c1,d56b95520fd2cbe8bebd4e4b9ee3ad67790e10c21a63903afe15425ed39704bc,config=4f910c76558a170b3c36d21ce765231a678bed14343e517acf083a8b5f3f7f06;frozen_player_fixture_predictions=a16b474d78a4087f28aaa813baac8f30678fd99f98dd9bca15e1eac646e1fd0f;normalized_player_fixture_facts=a30006cd181249edea06efc92a7356fd3905d57f3bf8e7e8d37d570f9f0dfb4a;player_gameweek_predictions=c76e6c5258d4d86053b6fa4a34a704cc6f02e886afa924e4bca2e787bcb8616b;xpoints_manifest=b61d54a6445362ff13ae0cb0d4c001a3bcd018e6b423a7bd8ad39db7458df76e,reports/decision_backtests/phase9b13_goalkeeper_scoring_corrected_exact_decisions_gw1_clean_034830b041c1/decision_metrics.csv=2623ddfcb2b3d0206fe28183a1dbdf42e7c3065a60f2c623bc7af587a62fb134;reports/decision_backtests/phase9b13_goalkeeper_scoring_corrected_exact_decisions_gw1_clean_034830b041c1/model_comparison.csv=0146d2178ffb2a48a115e24f5b0bc328c150a541c7d48399080e0a2b5870bbc8;reports/decision_backtests/phase9b13_goalkeeper_scoring_corrected_exact_decisions_gw1_clean_034830b041c1/scored_decisions.csv=9b02b9d2f3004c828ebdf82e6628cd5395567de88f77fe87ff27caff93490f18,multiple; see table,multiple; see table,historical,explicit in table,explicit in table,2,explicit in table,D1/D2 expected-realized and realized decision evidence,metric-specific; explicit in figures/notes,historical,No population or evaluation-mode pooling beyond explicitly labelled blocks.
E-T08,Table 8,outputs/operational/validation_runs/preseason_sim_hybrid_10000_goalkeeper_corrected_validation_clean_034830b041c1/player_gameweek_projections.csv;outputs/operational/validation_runs/preseason_sim_hybrid_10000_goalkeeper_corrected_validation_clean_034830b041c1/optimized_squad.csv;outputs/operational/validation_runs/preseason_sim_hybrid_10000_goalkeeper_corrected_validation_clean_034830b041c1/optimized_lineup.csv;outputs/operational/validation_runs/preseason_sim_hybrid_10000_goalkeeper_corrected_validation_clean_034830b041c1/data_freshness.json;outputs/operational/validation_runs/preseason_sim_hybrid_10000_goalkeeper_corrected_validation_clean_034830b041c1/model_lineage.json,preseason_sim_hybrid_10000_goalkeeper_corrected_validation_clean_034830b041c1,f787ba15c92c379520008daee767fe152aa6ca594d6b1dadb8c6bffaf04afc23,lockfile=55c39fc0e218d3ca5f6e5f3f5ead309bce7ba8f3b33a074bef06bc2a072e9496;normalized_tree=edaf05f33df26188a6f9981f640286f5520bf75b0711b89fd0a6a5601ffe15b7;operations_config=47ab7d160c06fed74af2128b1deefbb00d8c92fae1b03e835ae30c4dc5845ad7;original_manifest=0d2f8cb80368f999633f6ebd08b43fab2e820a22d219143e1c5ca7fbc695f9ba;pyproject=d22b77a80b33c1b3b5ebb8267da833f7072ee49d1c65d069f46c73d22aeec55c;xpoints_config=bccc01221d7b821a486efce4e4528fc5748771590ee64326f451c25a1289ddd6;official_bootstrap_static=bc334cda5906726eacd60746ea25d5b953b39aa77a5eb3b4a2d5538bbac9e1da;official_fixtures=9e7484118381f8202830906ba993c176475d8ca1796571f5dd78cbfc2d73bd3e,outputs/operational/validation_runs/preseason_sim_hybrid_10000_goalkeeper_corrected_validation_clean_034830b041c1/player_gameweek_projections.csv=82f433a754ebc6968a2516d3b899a45db2b7d9a11aefacbe7037c0d33afc90da;outputs/operational/validation_runs/preseason_sim_hybrid_10000_goalkeeper_corrected_validation_clean_034830b041c1/optimized_squad.csv=5011f9fd40ca0cb5b9f02743f269dd0cf71da12e3811ed3bc580303385588f59;outputs/operational/validation_runs/preseason_sim_hybrid_10000_goalkeeper_corrected_validation_clean_034830b041c1/optimized_lineup.csv=9aee571a18366e617db5c5979e842ac0de9eb9b7ac8721a3cf3016aa95485096;outputs/operational/validation_runs/preseason_sim_hybrid_10000_goalkeeper_corrected_validation_clean_034830b041c1/data_freshness.json=dd1dc6a2c62ba5697d70f65ba9fae3feccb05d3aee311ed8ca6e57a6e6aca95a;outputs/operational/validation_runs/preseason_sim_hybrid_10000_goalkeeper_corrected_validation_clean_034830b041c1/model_lineage.json=0a113981c96c85ade392e8ff9b04105d48cce1b07296700b4895e74509b3b6d4,T2/M7/X2 hybrid/D2,2026-27,prospective_gw1,explicit in table,explicit in table,16,explicit in table,prospective GW1 aggregate and top-ranked snapshot,metric-specific; explicit in figures/notes,prospective,"Prospective example, not an accuracy result."
E-F01,Figure 1,outputs/operational/validation_runs/preseason_sim_hybrid_10000_goalkeeper_corrected_validation_clean_034830b041c1/model_lineage.json,preseason_sim_hybrid_10000_goalkeeper_corrected_validation_clean_034830b041c1,f787ba15c92c379520008daee767fe152aa6ca594d6b1dadb8c6bffaf04afc23,lockfile=55c39fc0e218d3ca5f6e5f3f5ead309bce7ba8f3b33a074bef06bc2a072e9496;normalized_tree=edaf05f33df26188a6f9981f640286f5520bf75b0711b89fd0a6a5601ffe15b7;operations_config=47ab7d160c06fed74af2128b1deefbb00d8c92fae1b03e835ae30c4dc5845ad7;original_manifest=0d2f8cb80368f999633f6ebd08b43fab2e820a22d219143e1c5ca7fbc695f9ba;pyproject=d22b77a80b33c1b3b5ebb8267da833f7072ee49d1c65d069f46c73d22aeec55c;xpoints_config=bccc01221d7b821a486efce4e4528fc5748771590ee64326f451c25a1289ddd6;official_bootstrap_static=bc334cda5906726eacd60746ea25d5b953b39aa77a5eb3b4a2d5538bbac9e1da;official_fixtures=9e7484118381f8202830906ba993c176475d8ca1796571f5dd78cbfc2d73bd3e,outputs/operational/validation_runs/preseason_sim_hybrid_10000_goalkeeper_corrected_validation_clean_034830b041c1/model_lineage.json=0a113981c96c85ade392e8ff9b04105d48cce1b07296700b4895e74509b3b6d4,architecture,2022-23 to 2026-27 as labelled,explicit in figure,explicit in figure and notes,series-specific,see source/table,see source/table,conceptual,neither,historical+prospective,Traceable full-precision source; limitations in FIGURE_NOTES.md.
E-F02,Figure 2,reports/xpoints_backtests/phase9b12_xpoints_rolling_goalkeeper_corrected_exact/manifest.json;reports/xpoints_backtests/preseason_sim_hybrid_10000_gw1_three_fold_goalkeeper_corrected_clean_034830b041c1/manifest.json;outputs/operational/validation_runs/preseason_sim_hybrid_10000_goalkeeper_corrected_validation_clean_034830b041c1/preseason_simulation_convergence.json;outputs/operational/validation_runs/preseason_sim_hybrid_10000_goalkeeper_corrected_validation_clean_034830b041c1/preseason_simulation_closure.json,phase9b12_xpoints_rolling_goalkeeper_corrected_exact;preseason_sim_hybrid_10000_gw1_three_fold_goalkeeper_corrected_clean_034830b041c1;preseason_simulation_convergence_goalkeeper_corrected;preseason_simulation_closure_goalkeeper_corrected,6877097;034830b041c12d4764a81ebaf46c9b4b0978320c;f787ba15c92c379520008daee767fe152aa6ca594d6b1dadb8c6bffaf04afc23,fact_player_fixture=a30006cd181249edea06efc92a7356fd3905d57f3bf8e7e8d37d570f9f0dfb4a;config=e134e638d7cc312a9f3b54a2208245c28bf4663bb54e97f062f3e8a6445e6b51;fact_player_fixture=a30006cd181249edea06efc92a7356fd3905d57f3bf8e7e8d37d570f9f0dfb4a;config=bccc01221d7b821a486efce4e4528fc5748771590ee64326f451c25a1289ddd6;lockfile=55c39fc0e218d3ca5f6e5f3f5ead309bce7ba8f3b33a074bef06bc2a072e9496;normalized_tree=edaf05f33df26188a6f9981f640286f5520bf75b0711b89fd0a6a5601ffe15b7;operations_config=47ab7d160c06fed74af2128b1deefbb00d8c92fae1b03e835ae30c4dc5845ad7;original_manifest=0d2f8cb80368f999633f6ebd08b43fab2e820a22d219143e1c5ca7fbc695f9ba;pyproject=d22b77a80b33c1b3b5ebb8267da833f7072ee49d1c65d069f46c73d22aeec55c;xpoints_config=bccc01221d7b821a486efce4e4528fc5748771590ee64326f451c25a1289ddd6;official_bootstrap_static=bc334cda5906726eacd60746ea25d5b953b39aa77a5eb3b4a2d5538bbac9e1da;official_fixtures=9e7484118381f8202830906ba993c176475d8ca1796571f5dd78cbfc2d73bd3e,reports/xpoints_backtests/phase9b12_xpoints_rolling_goalkeeper_corrected_exact/manifest.json=89c24516ccbdc1048a446fa80e0d5f023ff081fc76fc366fe9dc638d14ba435a;reports/xpoints_backtests/preseason_sim_hybrid_10000_gw1_three_fold_goalkeeper_corrected_clean_034830b041c1/manifest.json=5c322b8484bb9e01fb7718900ed59822a2632d0a7ccea746c06f40bd8530f4d1;outputs/operational/validation_runs/preseason_sim_hybrid_10000_goalkeeper_corrected_validation_clean_034830b041c1/preseason_simulation_convergence.json=15121e5f80a8731e4abc1c26eec38da63e77ad978017a7f0e9659926e47d953b;outputs/operational/validation_runs/preseason_sim_hybrid_10000_goalkeeper_corrected_validation_clean_034830b041c1/preseason_simulation_closure.json=d2e87c862b7f5952b3cc3339916b42b82bf03e25bfffa782044d2a6d6ee3a04c,evaluation chronology,2022-23 to 2026-27 as labelled,explicit in figure,explicit in figure and notes,series-specific,see source/table,see source/table,conceptual,neither,historical+prospective,Traceable full-precision source; limitations in FIGURE_NOTES.md.
