claim_id,v7_page,v7_value,public_artifact,public_artifact_sha256,evidence_id,authoritative_full_precision_source,source_run_id,source_sha256,generation_path,supported_exactly,scope_or_limitation
historical-panel,7,"83,835 entity-fixture rows; 1,140 fixtures; 322 AM rows",paper/tables/table1_historical_data_coverage.csv,82b8153d97a5bcb5eee03828e5634d94883949669745af5b7afc4458e54720de,E-T01,data/normalized/phase2/fact_player_fixture.parquet,phase2 frozen historical panel,data/normalized/phase2/fact_player_fixture.parquet=a30006cd181249edea06efc92a7356fd3905d57f3bf8e7e8d37d570f9f0dfb4a (frozen evidence input; local current file differs),scripts/build_paper_evidence.py,counts yes; v7 player-fixture terminology requires correction,"Frozen historical source hash is in source_input_manifest; current local panel has later 2025-26 rows. The 83,835 rows are not all football players. The 83,835 total includes 322 Assistant Manager rows excluded from player models."
team-folds,17,76 rolling-origin folds; 760 fixtures,paper/tables/table2_team_model_comparison.csv,2855c25b24bf08548248dc59b47b6e87b97b36344a00c23cc92fd12c1658ced3,E-T02,reports/team_backtests/phase4_1_dixon_coles_rolling/manifest.json,phase4_1_dixon_coles_rolling,reports/team_backtests/phase4_1_dixon_coles_rolling/manifest.json=c16c075a323b7c526f8068e2cbb716269542de18d9921bbabd8239d995771193,scripts/build_paper_evidence.py,yes; manuscript rounding as stated,The 760 fixture count is for comparable held-out predictions. Original team run records a dirty commit without a full diff hash.
team-goal-mae,17,1.027 -> 0.949,paper/tables/table2_team_model_comparison.csv,2855c25b24bf08548248dc59b47b6e87b97b36344a00c23cc92fd12c1658ced3,E-T02,reports/team_backtests/phase4_1_dixon_coles_rolling/metrics_expected_goals.csv,phase4_1_dixon_coles_rolling,reports/team_backtests/phase4_1_dixon_coles_rolling/metrics_expected_goals.csv=ad14624027265efe3993dc86233507cdbd2e3d8bd5fba4327317dbf7e075d855,scripts/build_paper_evidence.py,yes; manuscript rounding as stated,T0 to T2; fixture-side goal MAE.
team-bootstrap-ci,17,-0.097 to -0.054,paper/tables/table2_team_model_comparison.csv,2855c25b24bf08548248dc59b47b6e87b97b36344a00c23cc92fd12c1658ced3,E-T02,reports/team_backtests/phase4_1_dixon_coles_rolling/bootstrap_goal_mae_differences.csv,phase4_1_dixon_coles_rolling,reports/team_backtests/phase4_1_dixon_coles_rolling/bootstrap_goal_mae_differences.csv=17ade60d8c1e2732f49514817de96489816bce5355ed54f0d6d522f04b379819,team backtest bootstrap,yes; manuscript rounding as stated,T2 minus T0; 300 bootstrap samples; rounded endpoints.
team-outcome-logloss,17,1.070 -> 0.968,paper/tables/table2_team_model_comparison.csv,2855c25b24bf08548248dc59b47b6e87b97b36344a00c23cc92fd12c1658ced3,E-T02,reports/team_backtests/phase4_1_dixon_coles_rolling/metrics_match_outcome.csv,phase4_1_dixon_coles_rolling,reports/team_backtests/phase4_1_dixon_coles_rolling/metrics_match_outcome.csv=4f516ed77e13cca946b74703944de768ca285ed69f4425022d45bf7938f3cc16,scripts/build_paper_evidence.py,yes; manuscript rounding as stated,T0 to T2 on 760 fixtures.
xpoints-76-fold,18,"57,008 observations; MAE 0.982 -> 0.907; Spearman 0.650 -> 0.704",paper/evidence_manifest.csv#E-M01,0d35beb103388e45de202d12a2b5017a66962f415e55a8f1d2325c96d06f26f7,E-M01,reports/xpoints_backtests/phase6_xpoints_rolling_goalkeeper_corrected_exact/metrics_overall.csv,phase6_xpoints_rolling_goalkeeper_corrected_exact,reports/xpoints_backtests/phase6_xpoints_rolling_goalkeeper_corrected_exact/metrics_overall.csv=4a99aea9243fd466ded685bd5f646e467c5aca007e9b5ee6f2f65e3fd6255112,fpl backtest-xpoints; evidence_inventory.json,yes; manuscript rounding as stated,"76 folds, 2023-24 and 2024-25; not Figure 4 later 114-fold run. X0 to X2 M3. Phase 6 source commit and exact historical config bytes are not established."
fcxp-gw1,18,MAE 1.373 vs 1.303; RMSE 2.130 vs 2.146; Brier 0.078; 80% coverage 90.8%,paper/tables/table4_xpoints_comparison.csv,593355a3e3b024654567177b99e652835d16947e41e927c3c3053f7a4af16e21,E-T04,reports/xpoints_backtests/preseason_sim_hybrid_10000_gw1_three_fold_goalkeeper_corrected_clean_034830b041c1/metrics_overall.csv;reports/xpoints_backtests/phase9b12_xpoints_gw1_goalkeeper_corrected_exact/metrics_overall.csv,preseason_sim_hybrid_10000_gw1_three_fold_goalkeeper_corrected_clean_034830b041c1;phase9b12_xpoints_gw1_goalkeeper_corrected_exact,reports/xpoints_backtests/preseason_sim_hybrid_10000_gw1_three_fold_goalkeeper_corrected_clean_034830b041c1/metrics_overall.csv=cecd3173274e2d7191ffed060ac861d807d7730773c26d4e2b94218dde7202aa;reports/xpoints_backtests/phase9b12_xpoints_gw1_goalkeeper_corrected_exact/metrics_overall.csv=16f003b21401c92bdb98600afa7dd0939f8c882b8e99d620aa6ea826ba94a731,scripts/build_paper_evidence.py,yes; manuscript rounding as stated,Three historical GW1 folds; FC-xP has worse MAE and better RMSE/Brier/coverage than legacy M7.
sim-closure,18,"10,000 vs 20,000 draws; P95 mean 0.031; P(5+) 0.005; rank 0.999862",paper/tables/table5_hybrid_simulation_convergence.csv,7bb1b0deabd2f819540f49511d3fd94ce8888d8fd12f116c9678255a39e4a0bb,E-T05,outputs/operational/validation_runs/preseason_sim_hybrid_10000_goalkeeper_corrected_validation_clean_034830b041c1/preseason_simulation_closure.json,preseason_sim_hybrid_10000_goalkeeper_corrected_validation_clean_034830b041c1,outputs/operational/validation_runs/preseason_sim_hybrid_10000_goalkeeper_corrected_validation_clean_034830b041c1/preseason_simulation_closure.json=d2e87c862b7f5952b3cc3339916b42b82bf03e25bfffa782044d2a6d6ee3a04c,scripts/replay_clean_prospective_evidence.py; scripts/build_paper_evidence.py,yes; manuscript rounding as stated,"The non-self-referential 20,000-draw reference applies to closure only."
d1-optimality,19,380 D1 decisions; zero recorded optimality gaps,paper/evidence_manifest.csv#E-M02,0d35beb103388e45de202d12a2b5017a66962f415e55a8f1d2325c96d06f26f7,E-M02,reports/decision_backtests/phase7_goalkeeper_scoring_corrected_decisions_rolling_real_clean_034830b041c1/scored_decisions.csv,phase7_goalkeeper_scoring_corrected_decisions_rolling_real_clean_034830b041c1,reports/decision_backtests/phase7_goalkeeper_scoring_corrected_decisions_rolling_real_clean_034830b041c1/scored_decisions.csv=b55ff3bdac84aed8a412f699b6a6a020955d27afa8376660840aa3cd9f4294ca,fpl backtest-decisions; clean_replay_inventory_034830b041c1.json,yes; manuscript rounding as stated,"Recorded D1 MILP status/gap, not season-long or D2 global optimality."
d2-comparison,19,"48.7583 -> 49.4873 expected-realised; realised +2, 0, +2; mean 1.33",paper/tables/table7_decision_system_evidence.csv,3cd629462b2e2236ea06187e69b29e8ed45691e29cd9a8dcca2249753bfdc399,E-T07,reports/decision_backtests/phase9b13_goalkeeper_scoring_corrected_exact_decisions_gw1_clean_034830b041c1/decision_metrics.csv;reports/decision_backtests/phase9b13_goalkeeper_scoring_corrected_exact_decisions_gw1_clean_034830b041c1/scored_decisions.csv,phase9b13_goalkeeper_scoring_corrected_exact_decisions_gw1_clean_034830b041c1,reports/decision_backtests/phase9b13_goalkeeper_scoring_corrected_exact_decisions_gw1_clean_034830b041c1/decision_metrics.csv=2623ddfcb2b3d0206fe28183a1dbdf42e7c3065a60f2c623bc7af587a62fb134;reports/decision_backtests/phase9b13_goalkeeper_scoring_corrected_exact_decisions_gw1_clean_034830b041c1/scored_decisions.csv=9b02b9d2f3004c828ebdf82e6628cd5395567de88f77fe87ff27caff93490f18,scripts/build_paper_evidence.py,yes; manuscript rounding as stated,Three historical GW1 weekly-reset decisions; descriptive and unstable interval.
figure1-v7,12,Four-stage player-points pipeline,paper/figures/figure1_v7_player_points_pipeline.png,06c05fdd4bacb9301dedda1f3f59d1f00ae933d6dde062467e85b2811c9df896,E-F01,Forecasts to Decisions v7.pdf page 12 embedded X47.png,v7_manuscript_pdf_image_X47,pdf=7d3a20909755ba69707fca8ce453e2e83e0b4ee422950115723a8233acf860dc;image=06c05fdd4bacb9301dedda1f3f59d1f00ae933d6dde062467e85b2811c9df896,pypdf.PdfReader(pdf).pages[11].images: X47.png,yes; byte-identical embedded image,Conceptual pipeline only; figure1_system_architecture.svg is a separate repository schematic.
