evidence_scope,authoritative_run_id,superseded_run_id,superseded_status,reason
phase6_gw1_xpoints,phase6_xpoints_gw1_goalkeeper_corrected_exact,phase6_xpoints_gw1_real,immutable_historical_record,Post-2023-24 goalkeeper goals were scored at six rather than ten.
phase6_rolling_xpoints,phase6_xpoints_rolling_goalkeeper_corrected_exact,phase6_xpoints_rolling_real,immutable_historical_record,Post-2023-24 goalkeeper goals were scored at six rather than ten.
rolling_benchmark,phase7_goalkeeper_scoring_corrected_decisions_rolling_real_clean_034830b041c1,phase7_captain_corrected_decisions_rolling_real,immutable_historical_record,Generated with a fixed six-point goalkeeper goal value in the 2024-25 decision inputs.
rolling_benchmark,phase7_goalkeeper_scoring_corrected_decisions_rolling_real,phase7_captain_corrected_decisions_rolling_real,immutable_historical_record,Post-2023-24 goalkeeper goals were scored at six rather than ten.
rolling_benchmark,phase7_goalkeeper_scoring_corrected_decisions_rolling_real_clean_034830b041c1,phase7_decisions_gw1_real,immutable_historical_record,Generated before the D1 captain coefficient correction; retained as the matching historical GW1 record.
rolling_benchmark,phase7_goalkeeper_scoring_corrected_decisions_rolling_real_clean_034830b041c1,phase7_decisions_rolling_real,immutable_historical_record,Generated before the D1 captain coefficient correction.
rolling_benchmark,phase7_goalkeeper_scoring_corrected_decisions_rolling_real_clean_034830b041c1,phase7_goalkeeper_scoring_corrected_decisions_rolling_real,immutable_historical_record,Numerically equivalent corrected evidence retained unchanged; superseded because its exact dirty source tree was not preserved.
table4_rolling_xpoints,phase9b12_xpoints_rolling_goalkeeper_corrected_exact,phase9b12_xpoints_rolling,immutable_historical_record,Post-2023-24 goalkeeper goals were scored at six rather than ten.
table4_table6_hybrid_gw1,preseason_sim_hybrid_10000_gw1_three_fold_goalkeeper_corrected,preseason_sim_hybrid_10000_gw1_three_fold_closure,immutable_historical_record,Post-2023-24 goalkeeper goals were scored at six rather than ten.
table4_table6_hybrid_gw1,preseason_sim_hybrid_10000_gw1_three_fold_goalkeeper_corrected_clean_034830b041c1,preseason_sim_hybrid_10000_gw1_three_fold_goalkeeper_corrected,immutable_historical_record,Numerically identical clean successor replaces evidence whose exact dirty source tree was not preserved.
table4_table6_legacy80_gw1,phase9b12_xpoints_gw1_goalkeeper_corrected_exact,phase9b12_xpoints_gw1,immutable_historical_record,Post-2023-24 goalkeeper goals were scored at six rather than ten.
table5_simulation_closure,preseason_sim_hybrid_10000_goalkeeper_corrected_validation_clean_034830b041c1_simulation_closure,preseason_simulation_closure_10000_vs_20000,immutable_historical_record,Generated from prospective projections that used six-point goalkeeper goals.
table5_simulation_convergence,preseason_sim_hybrid_10000_goalkeeper_corrected_validation_clean_034830b041c1_simulation_convergence,preseason_simulation_convergence,immutable_historical_record,Generated from prospective projections that used six-point goalkeeper goals.
table7_gw1,phase9b13_goalkeeper_scoring_corrected_exact_decisions_gw1_clean_034830b041c1,phase9b13_captain_corrected_decisions_gw1,immutable_historical_record,Numerically corrected evidence retained unchanged; superseded because its manifest predates complete source-state and input hashes.
table7_gw1,phase9b13_goalkeeper_scoring_corrected_exact_decisions_gw1_clean_034830b041c1,phase9b13_captain_corrected_decisions_gw1_determinism,immutable_historical_record,Numerically corrected determinism check retained unchanged; superseded by the authoritative provenance-complete replay.
table7_gw1,phase9b13_goalkeeper_scoring_corrected_exact_decisions_gw1_clean_034830b041c1,phase9b13_captain_corrected_decisions_gw1_v2,immutable_historical_record,Generated with a fixed six-point goalkeeper goal value in the 2024-25 and 2025-26 decision inputs.
table7_gw1,phase9b13_goalkeeper_scoring_corrected_exact_decisions_gw1,phase9b13_captain_corrected_decisions_gw1_v2,immutable_historical_record,Post-2023-24 goalkeeper goals were scored at six rather than ten.
table7_gw1,phase9b13_goalkeeper_scoring_corrected_exact_decisions_gw1_clean_034830b041c1,phase9b13_conditional_stabilized_decisions_gw1,immutable_historical_record,Pre-fix Phase 9B1.3 intermediate evidence.
table7_gw1,phase9b13_goalkeeper_scoring_corrected_exact_decisions_gw1_clean_034830b041c1,phase9b13_decisions_gw1,immutable_historical_record,Pre-fix Phase 9B1.3 decision evidence.
table7_gw1,phase9b13_goalkeeper_scoring_corrected_exact_decisions_gw1_clean_034830b041c1,phase9b13_exact_eval_decisions_gw1,immutable_historical_record,Pre-fix Phase 9B1.3 intermediate evidence.
table7_gw1,phase9b13_goalkeeper_scoring_corrected_exact_decisions_gw1_clean_034830b041c1,phase9b13_goalkeeper_scoring_corrected_exact_decisions_gw1,immutable_historical_record,Numerically equivalent corrected evidence retained unchanged; superseded because its exact dirty source tree was not preserved.
table7_gw1,phase9b13_goalkeeper_scoring_corrected_exact_decisions_gw1_clean_034830b041c1,phase9b13_lineup_refined_decisions_gw1,immutable_historical_record,Pre-fix source for the v0.1.0 Table 7 result.
table8_prospective_validation,preseason_sim_hybrid_10000_goalkeeper_corrected_validation_clean_034830b041c1,preseason_sim_hybrid_10000_final_v2_abf172c,immutable_historical_record,Superseded only for corrected publication validation; the published predecessor remains immutable and was not overwritten.
table8_prospective_validation,preseason_sim_hybrid_10000_goalkeeper_corrected_validation_clean_034830b041c1,preseason_sim_hybrid_10000_goalkeeper_corrected_validation_abf172c,immutable_historical_record,Numerically identical clean successor replaces validation evidence whose exact dirty source tree was not preserved.
